label,message,message_encoded,len_message
0,m ok wif cos like 2 try new thing scare u dun like mah cos u loud,"[2, 10, 289, 89, 14, 3, 48, 37, 51, 1, 125, 14, 573, 89, 1]",15
1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm,"[48, 93, 190, 166, 33, 221, 69, 138, 49, 264, 341, 453, 229]",13
0,wa ur openin sentence formal m fine juz tt m eatin n puttin weighthaha anythin special happen,"[4, 2, 155, 315, 2, 965, 35, 162, 144]",9
0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment,"[316, 245, 60, 505, 779, 64, 162, 625, 7, 161, 161, 359, 873]",13
1,winner u specially select 2 receive å1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18,"[464, 1, 780, 254, 3, 158, 221, 7, 167, 781, 874, 159, 129, 506, 3, 49, 175]",17
0,goodo yes speak friday   eggpotato ratio tortilla need,"[75, 159, 507, 23]",4
0,hmmmy uncle inform s pay school directly pls buy food,"[478, 875, 6, 147, 272, 59, 87, 347]",8
1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifier code 45239 expire,"[410, 876, 176, 427, 479, 375, 233, 49, 508, 264, 428]",11
1,urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppm,"[109, 34, 107, 258, 375, 424, 69, 423, 48, 93, 1, 211, 229]",13
0,new address applespairsall malarky,"[37, 377]",2
1,today voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate app,"[25, 62, 106, 254, 158, 107, 394, 724, 49, 264, 247, 782]",12
0,sao mu today 12,"[538, 25, 535]",3
0,ìï predict wat time ìll finish buy,"[134, 58, 18, 105, 87]",5
0,good stuff,"[9, 154]",2
0,knowyetunde send money send text bother send involve impose place apologise,"[13, 121, 13, 20, 877, 13, 110]",7
0,room,[193],1
0,hey girl r u hope u r del r bak long time c sum time lucyxx,"[55, 142, 32, 1, 46, 1, 32, 725, 32, 878, 143, 18, 85, 18]",14
0,kkhow cost,[189],1
0,m home,"[2, 26]",2
0,dear tmorrowpls accomodate,[57],1
0,answer question,"[248, 230]",2
1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyrone,"[783, 539, 534, 33, 784, 879, 378, 1, 8, 966, 24, 290]",12
1,want 2 lay tonight want real dog location send direct 2 ur mob join uks large dog network bt txte gravel 69888 ec2a 31pmsg150p,"[15, 3, 880, 114, 15, 209, 429, 961, 13, 626, 3, 4, 312, 223, 726, 429, 244, 305, 785]",19
0,haf msn yijuehotmailcom,[348],1
0,meet,[56],1
0,check room befor activity,"[128, 193]",2
1,ll rcv msgs chat svc free hardcore service text 69988 u u age verify yr network   try,"[317, 574, 118, 12, 88, 20, 1, 1, 430, 540, 244, 48]",12
0,c lazy type forget ì lect pouch like v nice,"[85, 786, 480, 173, 45, 787, 14, 132, 120]",9
0,k text way,"[98, 20, 66]",3
0,sir wait mail,"[224, 50, 293]",3
0,swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8,"[22, 627, 269, 51, 7, 727, 139, 269, 51, 30, 168, 169, 111, 541]",14
0,know pls open,"[8, 59, 411]",3
0,yes ya dot,"[75, 124]",2
0,s staff class,"[6, 151]",2
1,freemsg reply text m randy sexy female live local luv hear u netcollex ltd 08700621170150p msg reply stop end,"[613, 29, 20, 2, 280, 129, 203, 174, 1, 509, 82, 29, 28, 106]",14
0,ummmawill check inour life begin qatar pls pray hard,"[128, 83, 967, 59, 728, 431]",6
0,ki delete contact,[93],1
0,sindu job birla soft,[163],1
0,wine flow m nevere,"[628, 2]",2
0,yup thk cine cos need 2 2 plaza mah,"[172, 145, 946, 89, 23, 3, 3, 573]",8
0,ok ur typical reply,"[10, 4, 29]",3
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[668, 357, 712, 424, 713, 235, 669, 63, 712]",9
0,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time,"[968, 411, 5, 281, 205, 196, 18, 133, 282, 17, 180, 14, 51, 14, 503, 18]",16
0,aaooooright work,[38],1
0,m leave house,"[2, 54, 212]",3
0,hello love interview today happy good boy think meare miss,"[146, 19, 25, 60, 9, 213, 22, 44]",8
1,customer service annoncement new year delivery wait 07046744435 arrange delivery,"[116, 88, 37, 92, 361, 50, 969, 361]",8
1,winner u specially select 2 receive å1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,"[464, 1, 780, 254, 3, 158, 221, 91, 7, 167, 781, 874, 159, 129, 506, 3, 49]",17
0,safe need miss envy real life,"[676, 23, 44, 209, 83]",5
0,new car house parentsi new job hand,"[37, 165, 212, 37, 163, 330]",6
0,m love m excited day spend happy,"[2, 19, 2, 16, 363, 60]",6
1,pls stop bootydelious 32f invite friend reply yes434 no434 wwwsmsacubootydelious stop send stop frnd 62468,"[59, 28, 359, 63, 29, 28, 13, 28, 266, 970]",10
1,bangbabe ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu,"[4, 318, 66, 1, 158, 88, 82, 3, 425, 4, 432, 1, 881, 716, 282, 4, 34, 971]",18
0,place ur point e culture module,"[110, 4, 233, 78]",4
1,urgent try contact weekend draw win å900 prize guarantee 09061701939 claim code s89 valid 12hrs,"[109, 48, 93, 190, 166, 33, 947, 69, 138, 49, 264, 341, 453]",13
0,hi frnd good way avoid missunderstde wit beloved,"[41, 266, 9, 66, 510]",5
0,great escape fancy bridge need lager tomo,"[52, 433, 23, 451]",4
0,yes completely formclark utter waste,"[75, 788, 789]",3
0,sir need axis bank account bank address,"[224, 23, 454, 176, 454, 377]",6
0,hmmm thk sure time hop ard ya 4 free abt muz u discuss liao,"[790, 145, 99, 18, 972, 371, 124, 7, 12, 302, 677, 1, 973, 225]",14
0,time come later,"[18, 5, 40]",3
0,bloody hell believe forget surname mr   ill u clue spanish begin m,"[629, 395, 173, 630, 17, 1, 967, 2]",8
0,m finish bath goodfine night,"[2, 105, 678, 47]",4
0,let know ve money carlos,"[72, 8, 67, 121, 542]",5
0,u mall,[1],1
0,turn friend stay til   ltgt   feel free ahead smoke   ltgt   worth,"[565, 63, 214, 319, 11, 64, 12, 954, 306, 11, 455]",11
0,text reply let know log,"[20, 29, 72, 8, 481]",5
0,hi speak maneesha v d like know satisfied experience reply toll free yes,"[41, 159, 132, 30, 14, 8, 974, 29, 12, 75]",10
0,lift hope offer money need especially end month approach hurt study anyways gr8 weekend,"[791, 46, 152, 121, 23, 792, 106, 171, 236, 412, 413, 190]",12
0,lol u trust,"[95, 1, 729]",3
0,ok gentleman treat dignity respect,"[10, 407]",2
0,guy close,"[113, 301]",2
0,greatbye,[],0
0,hello handsome   find job   lazy   work net mummy   s boytoy   miss,"[146, 71, 163, 786, 38, 975, 6, 482, 44]",9
0,haha awesome minute,"[149, 414, 140]",3
1,customer service representative freephone 0808 145 4742 9am11pm win guarantee å1000 cash å5000 prize,"[116, 88, 722, 882, 33, 138, 221, 91, 392, 69]",10
0,xmas radio times,[283],1
0,jus reach home bathe sis net tell u finish k,"[331, 141, 26, 543, 456, 975, 21, 1, 105, 98]",10
1,unique find 30th august wwwareyouuniquecouk,[71],1
0,m sorry ve join league people touch mean great deal friend time great personal cost great week,"[2, 31, 67, 223, 137, 396, 117, 52, 730, 63, 18, 52, 189, 52, 39]",15
0,hi finally complete course,"[41, 511, 631, 544]",4
0,stop suggest stay able stool,"[28, 214, 307]",3
0,hope ve settle new school year wishin gr8 day,"[46, 67, 883, 37, 272, 92, 413, 16]",8
0,gud mrng dear hav nice day,"[111, 512, 57, 308, 120, 16]",6
0,u person story,"[1, 139, 379]",3
0,hamster dead hey tmr meet 1 pm orchard mrt,"[884, 55, 284, 56, 79, 332, 679, 793]",8
0,hi kate evening hope tomorrow bit bloody babyjontet txt u   xxx,"[41, 680, 273, 46, 74, 156, 24, 1, 227]",9
0,find enc   ltgt  ,"[71, 11]",2
0,send   ltgt   buck,"[13, 11, 976]",3
0,hello darlin ve finish college txt u finish u love kate xxx,"[146, 545, 67, 105, 513, 24, 1, 105, 1, 19, 680, 227]",12
0,account refill successfully inr   ltdecimalgt   keralacircle prepay account balance rs   ltdecimalgt   transaction d kr ltgt,"[176, 349, 176, 731, 349, 30, 11]",7
0,goodmorning sleep ga,"[632, 84]",2
0,u alter 11 ok,"[1, 773, 10]",3
0,ìï like dat dun buy ericsson oso oredi lar,"[134, 14, 181, 125, 87, 350, 514, 194]",8
0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment,"[316, 245, 60, 505, 779, 64, 162, 625, 7, 161, 161, 359, 873]",13
0,aight yo dat straight dogg,"[239, 202, 181]",3
0,connection today   ltdecimalgt   refund bill,"[977, 25, 349, 515]",4
0,  shoot big load ready,"[168, 624, 186]",3
0,s bruv hope great break rewarding semester,"[6, 46, 52, 333, 633]",5
0,home chat,"[26, 118]",2
0,kkgoodstudy,[],0
0,yup ì noe leh,"[172, 45, 397, 274]",4
0,sound great home,"[285, 52, 26]",3
0,finally match head draw prediction,"[511, 394, 364, 166]",4
0,tired sleep past night,"[627, 84, 978, 47]",4
0,easy ahsen select mean good,"[215, 254, 117, 9]",4
0,exam march 3,"[483, 575, 94]",3
0,yeah think use gt atm register sure s help let know sure ready,"[76, 22, 160, 885, 681, 99, 6, 119, 72, 8, 99, 186]",12
0,ok prob ur time,"[10, 426, 4, 18]",4
0,os ubandu run instal hard diskyou use os copy important file system repair shop,"[201, 431, 160, 669, 309, 886, 979, 231]",8
0,sorry ill later,"[31, 17, 40]",3
0,u leh course happen lar v romantic jus bit lor thk e nite scenery nice leh,"[1, 274, 544, 144, 194, 132, 331, 156, 27, 145, 78, 380, 120, 274]",14
1,500 new mobile 2004 txt nokia 89545   collect todayfrom å1 www4tcbiz 2optout 08718726270150gbpmtmsg18,"[320, 37, 34, 876, 24, 104, 237]",7
0,appreciate need talk,"[794, 23, 115]",3
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo arie,"[1, 56, 4, 281, 112, 4, 3, 101, 3, 71, 12, 24, 537, 4, 732, 78, 216]",17
0,hey company elama po mudyadhu,"[55, 434, 222]",3
0,life strict teacher bcoz teacher teach lesson amp conduct exam life conduct exam amp teach lesson happy morning,"[83, 634, 635, 299, 80, 483, 83, 483, 80, 635, 299, 60, 86]",13
0,dear good morning,"[57, 9, 86]",3
0,gandhipuram walk cross cut road right ltgt street road turn right,"[259, 475, 733, 70, 11, 795, 733, 565, 70]",9
0,dear rubber place,"[57, 110]",2
0,sorry battery die yeah m,"[31, 980, 415, 76, 2]",5
0,yeshere tv available work place,"[282, 462, 38, 110]",4
1,text   meet sexy today u find date flirt u join 4 10p reply   age eg sam 25 18 msg recdthirtyeight penny,"[20, 56, 280, 25, 1, 71, 195, 796, 1, 223, 7, 546, 29, 430, 616, 175, 82]",17
0,print oh   ltgt   come upstairs,"[53, 11, 5]",3
0,ill little close like bus stop street,"[17, 269, 301, 14, 255, 28, 795]",7
0,youwhen wil reach,"[416, 141]",2
0,new theory argument win d situation lose person argue ur friend     kick amp m correct,"[37, 33, 30, 719, 187, 139, 4, 63, 734, 80, 2, 621]",12
1,u 447801259231 secret admirer look 2 contact ufind rreveal think ur specialcall 09058094597,"[1, 484, 735, 97, 3, 93, 887, 888, 22, 4, 889]",11
0,tomarrow final hearing laptop case,"[423, 636, 547]",3
0,pleassssssseeeeee tel v avent sportsx,"[576, 132]",2
0,okay shine mean sign sound,"[303, 117, 732, 285]",4
0,tell u dat m baig face watch like e watch u cos fr u thanx 4 dat uve today m touch,"[21, 1, 181, 2, 275, 103, 14, 78, 103, 1, 89, 577, 1, 260, 7, 181, 981, 25, 2, 396]",20
0,u remember old commercial,"[1, 228, 393]",3
0,late website slipper,[68],1
0,ask ok,"[42, 10]",2
0,kallis bat 2nd innings,[265],1
0,work oh ok goodnight ill fix ready time wake dearly miss good night sleep,"[38, 53, 10, 890, 17, 548, 186, 18, 177, 44, 9, 47, 84]",13
1,congratulation ur award 500 cd voucher 125gift guarantee   free entry 2 100 wkly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,"[516, 4, 107, 320, 578, 204, 138, 12, 298, 3, 465, 534, 166, 24, 351, 579, 891]",17
0,ranjith cal drpd deeraj deepak 5min hold,[334],1
0,wen ur lovable bcum angry wid u dnt seriously coz angry d childish n true way deep affection care n luv kettoda manda nice day da,"[313, 4, 727, 435, 381, 1, 580, 774, 417, 435, 30, 35, 310, 66, 682, 90, 35, 203, 120, 16, 43]",21
0,doinghow,[],0
0,3days shipping company 2wks way usp week lag bribe nipost stuff,"[434, 66, 39, 154]",4
0,m lemme know ready,"[2, 892, 8, 186]",4
0,necessarily expect m headin,"[683, 2]",2
0,mmm yummy babe   nice jolt suzy,"[81, 120]",2
0,lover   need,"[684, 23]",2
1,try contact reply offer video handset 750 anytime network min unlimited text camcorder reply 08000930705,"[48, 93, 29, 152, 249, 436, 485, 244, 77, 549, 20, 500, 29, 473]",14
0,iûm park mini come today think,"[517, 5, 25, 22]",4
0,yup,[172],1
0,m shop cos sis dun disturb u liao,"[2, 231, 89, 456, 125, 685, 1, 225]",8
0,luton 0125698789 ur h,[4],1
1,hey horny want chat naked text hot 69698 text charge 150pm unsubscribe text stop 69698,"[55, 982, 15, 118, 983, 20, 352, 20, 207, 418, 20, 28]",12
0,dint come,[5],1
0,wana plan trip sometme,"[686, 123, 346]",3
0,sure try hold,"[99, 48, 334]",3
1,ur ringtone service change 25 free credit club4mobilescom choose content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,"[4, 256, 88, 238, 12, 291, 382, 432, 28, 24, 398, 28, 222]",13
0,evo download flash jealous,[425],1
1,ringtone club uk single chart mobile week choose quality ringtone message free charge,"[256, 398, 471, 581, 34, 39, 382, 984, 256, 61, 12, 207]",12
0,come mu sort narcotic situation,"[5, 538, 457, 719]",4
0,night end day morning come special way smile like sunny ray leave worry blue blue bay,"[47, 106, 16, 86, 5, 162, 66, 100, 14, 54, 219, 637, 637]",13
1,hmv bonus special 500 pound genuine hmv voucher win answer 4 easy question play send hmv 86688 infowww100percentrealcom,"[736, 375, 162, 320, 278, 736, 204, 33, 248, 7, 215, 230, 153, 13, 736, 419]",16
0,usf guess 1 car,"[667, 180, 79, 165]",4
0,objection bf come,[5],1
0,thanx,[260],1
0,tell rob mack gf theater,[21],1
0,awesome ill bit,"[414, 17, 156]",3
0,send type food like,"[13, 480, 347, 14]",4
0,hand celebration swing,"[330, 687]",2
0,tool,[],0
0,wen u miss   person definitely special u person special   miss   keepintouch gdeve,"[313, 1, 44, 139, 985, 162, 1, 139, 162, 44]",10
0,ok ask money far,"[10, 42, 121, 486]",4
0,okie,[399],1
0,yeah think usual guy pass night ahold anybody let know ill throw,"[76, 22, 986, 113, 474, 47, 72, 8, 17, 797]",10
0,k come tonight class let early,"[98, 5, 114, 151, 72, 150]",6
0,ok,[10],1
0,hi baby m cruisin girl friend r u 2 hour home s alright fone fone love jenny xxx,"[41, 250, 2, 142, 63, 32, 1, 3, 135, 26, 6, 343, 487, 487, 19, 227]",16
0,life mean lot love life love people life world friend world ge,"[83, 117, 133, 19, 83, 19, 137, 83, 205, 63, 205, 798]",12
0,dearshall mail tonitebusy streetshall update tonitething look okvarunnathu edukkukayee raksha ollubut good real sense,"[293, 326, 97, 9, 209, 987]",6
0,hey tell gautham ah,"[55, 21, 268]",3
0,haf u find feel stupid da v cam work,"[348, 1, 71, 64, 737, 43, 132, 38]",8
0,oop 4 bit,"[953, 7, 156]",3
0,buzy,[],0
0,accidentally delete message resend,[61],1
1,tmobile customer claim free camera phone upgrade   pay   sim card loyalty 0845 021 3680offer end 28thfebtcs apply,"[116, 49, 12, 206, 36, 147, 688, 437, 988, 106, 234]",11
0,situation gurl appropriate,[719],1
0,hurt tease cry end life die plz rise grave stupid miss u nice day bslvyl,"[236, 949, 106, 83, 415, 321, 799, 737, 44, 1, 120, 16, 582]",13
0,pick phone right pls send message,"[73, 36, 70, 59, 13, 61]",6
0,need coffee run tomocant believe time week,"[23, 989, 201, 395, 18, 39]",6
0,awesome remember time somebody high time diesel v,"[414, 228, 18, 689, 893, 18, 132]",7
0,shit shocking scary imagine second def night u think crash night save taxi,"[217, 990, 374, 47, 1, 22, 47, 502]",8
0,oh way food fridge want meal tonight,"[53, 66, 347, 15, 114]",5
0,womdarfull actor,[],0
1,sm ac blind date 4u rodds1 21 m aberdeen united kingdom check httpimg sm acwicmb3cktz8r74 blind date send hide,"[391, 195, 894, 2, 128, 391, 195, 13]",8
0,yup remb think book,"[172, 22, 199]",3
0,jos ask u wana meet,"[42, 1, 686, 56]",4
0,lol yes friendship hang thread cause u buy stuff,"[95, 75, 365, 376, 1, 87, 154]",7
1,themob check new selection content game tone gossip babe sport mobile fit funky text wap 82468,"[128, 37, 432, 232, 96, 81, 800, 34, 20, 716]",10
0,garage key bookshelf,[991],1
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,"[25, 801, 801, 390, 438, 684, 721, 117]",8
1,think ur smart   win å200 week weekly quiz text play 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week,"[22, 4, 33, 802, 39, 335, 539, 20, 153, 222, 198, 131]",12
0,hell friend money s definitely buy end week,"[629, 63, 121, 6, 985, 87, 106, 39]",8
0,hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lose,"[41, 66, 1, 895, 803, 209, 4, 46, 8, 1, 7, 804, 46, 1, 71, 336, 187]",17
0,day great day,"[16, 52, 16]",3
0,kkadvance happy pongal,[60],1
