label,message
1,07732584351   rodger burn   msg   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow
0,great hope like man endowed   ltgt   inch
0,callsmessagesmisse
0,hep b immunisation nigeria
0,fair
0,yeah hopefully tyler maybe ask bit
0,u know stubborn want hospital tell mark m weak sucker hospital weak sucker
0,think time class
0,gram usually run like   ltgt   half eighth smart second gram   ltgt
0,k fyi x ride early tomorrow morning s crash place tonight
0,wow realize embarassed accomodation think like good happy cave m sorry m sorry offer m sorry room embarasse
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat yesterday find    lturlgt
1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss
0,sorry ill later meeting
0,tell reach
0,yesgauti sehwag odi series
0,pick 1 burger way home pain kill
0,ha ha ha good joke girl situation seeker
0,check iq
0,sorry roommate forever ok come
0,ok lar double check wif da hair dresser wun cut v short cut look nice
1,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589
0,today song dedicated day song u dedicate send ur valuable frnd rply
1,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj
1,hear new divorce barbie come kens stuff
0,plane month end
0,wah lucky man save money hee
0,finish class
0,hi babe m home wanna xx
0,kkwhere youhow perform
0,u
0,wait machan free
0,s cool gentleman treat dignity respect
0,like people shy pa
0,operate   ltgt  
0,look job ta earn
0,sorry ill later
0,k ah
0,ok way home hi hi
0,place man
0,yup stop
0,later network urgnt sm
0,real u yo need 2 ticket jacket m multis
0,yes start send request pain come m bed double coin factory cash nitro
0,m tonight babe
0,ela kanoil download come wen ur free
0,yeah donût stand close tho youûll catch
0,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry
0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile
1,customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prize
0,plan buy later check lido 530 e afternoon u finish work
1,free ringtone wait collect simply text password mix 85069 verify usher britney fml   po box 5249   mk17 92h 450ppw 16
0,watch telugu moviewat abt u
0,finish load loan pay
0,hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uham
0,text anymore
0,okay ur price long legal wen pick y u ave x ams xx
0,m look car buy 4the drive test
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
0,wow right mean guess boston man change search location nyc change cuz signin page boston
0,umma life vava umma love lot dear
0,thank lot wish birthday thank birthday truly memorable
0,aight ill hit cash
0,ip address test consider computer minecraft server
0,know grumpy old people mom like lie play joke
0,worry guess s busy
0,plural noun research
0,dinnermsg
0,m ok wif cos like 2 try new thing scare u dun like mah cos u loud
1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm
0,wa ur openin sentence formal m fine juz tt m eatin n puttin weighthaha anythin special happen
0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment
1,winner u specially select 2 receive å1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
0,goodo yes speak friday   eggpotato ratio tortilla need
0,hmmmy uncle inform s pay school directly pls buy food
1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifier code 45239 expire
1,urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppm
0,new address applespairsall malarky
1,today voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate app
0,sao mu today 12
0,ìï predict wat time ìll finish buy
0,good stuff
0,knowyetunde send money send text bother send involve impose place apologise
0,room
0,hey girl r u hope u r del r bak long time c sum time lucyxx
0,kkhow cost
0,m home
0,dear tmorrowpls accomodate
0,answer question
1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyrone
1,want 2 lay tonight want real dog location send direct 2 ur mob join uks large dog network bt txte gravel 69888 ec2a 31pmsg150p
0,haf msn yijuehotmailcom
0,meet
0,check room befor activity
1,ll rcv msgs chat svc free hardcore service text 69988 u u age verify yr network   try
0,c lazy type forget ì lect pouch like v nice
0,k text way
0,sir wait mail
0,swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8
0,know pls open
0,yes ya dot
0,s staff class
1,freemsg reply text m randy sexy female live local luv hear u netcollex ltd 08700621170150p msg reply stop end
0,ummmawill check inour life begin qatar pls pray hard
0,ki delete contact
0,sindu job birla soft
0,wine flow m nevere
0,yup thk cine cos need 2 2 plaza mah
0,ok ur typical reply
0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
0,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time
0,aaooooright work
0,m leave house
0,hello love interview today happy good boy think meare miss
1,customer service annoncement new year delivery wait 07046744435 arrange delivery
1,winner u specially select 2 receive å1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
0,safe need miss envy real life
0,new car house parentsi new job hand
0,m love m excited day spend happy
1,pls stop bootydelious 32f invite friend reply yes434 no434 wwwsmsacubootydelious stop send stop frnd 62468
1,bangbabe ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
0,place ur point e culture module
1,urgent try contact weekend draw win å900 prize guarantee 09061701939 claim code s89 valid 12hrs
0,hi frnd good way avoid missunderstde wit beloved
0,great escape fancy bridge need lager tomo
0,yes completely formclark utter waste
0,sir need axis bank account bank address
0,hmmm thk sure time hop ard ya 4 free abt muz u discuss liao
0,time come later
0,bloody hell believe forget surname mr   ill u clue spanish begin m
0,m finish bath goodfine night
0,let know ve money carlos
0,u mall
0,turn friend stay til   ltgt   feel free ahead smoke   ltgt   worth
0,text reply let know log
0,hi speak maneesha v d like know satisfied experience reply toll free yes
0,lift hope offer money need especially end month approach hurt study anyways gr8 weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guy close
0,greatbye
0,hello handsome   find job   lazy   work net mummy   s boytoy   miss
0,haha awesome minute
1,customer service representative freephone 0808 145 4742 9am11pm win guarantee å1000 cash å5000 prize
0,xmas radio times
0,jus reach home bathe sis net tell u finish k
1,unique find 30th august wwwareyouuniquecouk
0,m sorry ve join league people touch mean great deal friend time great personal cost great week
0,hi finally complete course
0,stop suggest stay able stool
0,hope ve settle new school year wishin gr8 day
0,gud mrng dear hav nice day
0,u person story
0,hamster dead hey tmr meet 1 pm orchard mrt
0,hi kate evening hope tomorrow bit bloody babyjontet txt u   xxx
0,find enc   ltgt  
0,send   ltgt   buck
0,hello darlin ve finish college txt u finish u love kate xxx
0,account refill successfully inr   ltdecimalgt   keralacircle prepay account balance rs   ltdecimalgt   transaction d kr ltgt
0,goodmorning sleep ga
0,u alter 11 ok
0,ìï like dat dun buy ericsson oso oredi lar
0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment
0,aight yo dat straight dogg
0,connection today   ltdecimalgt   refund bill
0,  shoot big load ready
0,s bruv hope great break rewarding semester
0,home chat
0,kkgoodstudy
0,yup ì noe leh
0,sound great home
0,finally match head draw prediction
0,tired sleep past night
0,easy ahsen select mean good
0,exam march 3
0,yeah think use gt atm register sure s help let know sure ready
0,ok prob ur time
0,os ubandu run instal hard diskyou use os copy important file system repair shop
0,sorry ill later
0,u leh course happen lar v romantic jus bit lor thk e nite scenery nice leh
1,500 new mobile 2004 txt nokia 89545   collect todayfrom å1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,appreciate need talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo arie
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson amp conduct exam life conduct exam amp teach lesson happy morning
0,dear good morning
0,gandhipuram walk cross cut road right ltgt street road turn right
0,dear rubber place
0,sorry battery die yeah m
0,yeshere tv available work place
1,text   meet sexy today u find date flirt u join 4 10p reply   age eg sam 25 18 msg recdthirtyeight penny
0,print oh   ltgt   come upstairs
0,ill little close like bus stop street
0,youwhen wil reach
0,new theory argument win d situation lose person argue ur friend     kick amp m correct
1,u 447801259231 secret admirer look 2 contact ufind rreveal think ur specialcall 09058094597
0,tomarrow final hearing laptop case
0,pleassssssseeeeee tel v avent sportsx
0,okay shine mean sign sound
0,tell u dat m baig face watch like e watch u cos fr u thanx 4 dat uve today m touch
0,u remember old commercial
0,late website slipper
0,ask ok
0,kallis bat 2nd innings
0,work oh ok goodnight ill fix ready time wake dearly miss good night sleep
1,congratulation ur award 500 cd voucher 125gift guarantee   free entry 2 100 wkly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16
0,ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovable bcum angry wid u dnt seriously coz angry d childish n true way deep affection care n luv kettoda manda nice day da
0,doinghow
0,3days shipping company 2wks way usp week lag bribe nipost stuff
0,m lemme know ready
0,necessarily expect m headin
0,mmm yummy babe   nice jolt suzy
0,lover   need
1,try contact reply offer video handset 750 anytime network min unlimited text camcorder reply 08000930705
0,iûm park mini come today think
0,yup
0,m shop cos sis dun disturb u liao
0,luton 0125698789 ur h
1,hey horny want chat naked text hot 69698 text charge 150pm unsubscribe text stop 69698
0,dint come
0,wana plan trip sometme
0,sure try hold
1,ur ringtone service change 25 free credit club4mobilescom choose content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt
0,evo download flash jealous
1,ringtone club uk single chart mobile week choose quality ringtone message free charge
0,come mu sort narcotic situation
0,night end day morning come special way smile like sunny ray leave worry blue blue bay
1,hmv bonus special 500 pound genuine hmv voucher win answer 4 easy question play send hmv 86688 infowww100percentrealcom
0,usf guess 1 car
0,objection bf come
0,thanx
0,tell rob mack gf theater
0,awesome ill bit
0,send type food like
0,hand celebration swing
0,tool
0,wen u miss   person definitely special u person special   miss   keepintouch gdeve
0,ok ask money far
0,okie
0,yeah think usual guy pass night ahold anybody let know ill throw
0,k come tonight class let early
0,ok
0,hi baby m cruisin girl friend r u 2 hour home s alright fone fone love jenny xxx
0,life mean lot love life love people life world friend world ge
0,dearshall mail tonitebusy streetshall update tonitething look okvarunnathu edukkukayee raksha ollubut good real sense
0,hey tell gautham ah
0,haf u find feel stupid da v cam work
0,oop 4 bit
0,buzy
0,accidentally delete message resend
1,tmobile customer claim free camera phone upgrade   pay   sim card loyalty 0845 021 3680offer end 28thfebtcs apply
0,situation gurl appropriate
0,hurt tease cry end life die plz rise grave stupid miss u nice day bslvyl
0,pick phone right pls send message
0,need coffee run tomocant believe time week
0,awesome remember time somebody high time diesel v
0,shit shocking scary imagine second def night u think crash night save taxi
0,oh way food fridge want meal tonight
0,womdarfull actor
1,sm ac blind date 4u rodds1 21 m aberdeen united kingdom check httpimg sm acwicmb3cktz8r74 blind date send hide
0,yup remb think book
0,jos ask u wana meet
0,lol yes friendship hang thread cause u buy stuff
1,themob check new selection content game tone gossip babe sport mobile fit funky text wap 82468
0,garage key bookshelf
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
1,think ur smart   win å200 week weekly quiz text play 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week
0,hell friend money s definitely buy end week
0,hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lose
0,day great day
0,kkadvance happy pongal
0,hmmm guess 4 kb n power yoga haha dunno tahan power yoga anot thk lo oso forgot liao
0,dude friend m afraid
1,december mobile 11mth entitle update late colour camera mobile free mobile update co free 08002986906
0,coffee cake guess
0,merry christmas babe love ya kiss
0,hey watch x man lunch haha
0,cud u tell ppl m gona b bit l8 cos 2 bus hav gon past cos   m waitin 4 1 pete x
0,great guild meet bristol road   touch weekend plan flight good week
0,problem
0,callsmessagesmisse
0,hi dahow today class
0,d s good sign know track record read woman
0,cool text park
0,m read text send mean joke read light
0,kkapo kgood movie
0,maybe book tomo return immediately  
1,germany 1 penny minute fix line access number 0844 861 85 85 prepayment direct access
0,chance evaporate soon violate privacy steal phone number employer paperwork cool contact report supervisor
1,valentine day special win å1000 quiz partner trip lifetime send 83600 150pmsg rcvd custcare08718720201
0,tadaaaaa home babe
0,cool come wine dine
0,sleepingand surfing
0,sorry ill later
0,u right hand phone
0,ok s great thanx lot
0,post come 1000 text happy read wiv hello caroline end favourite bless
0,u hide stranger
0,interested like
0,sister clear round birla soft yesterday
0,gudnitetcpractice
0,dis yijue ju ur mail case huiming send u num dis num
0,small prestige problem
1,fancy shag dointereste sextextukcom txt xxuk suzy 69876 txt cost 150 msg tnc website x
0,check miss jeremiah great month
0,nah help ve iphone
0,car hour half m apeshit
0,today sorry day angry misbehave hurt plz plz slap urself bcoz ur fault m basically good
0,yo guy figure need alcohol jay try figure safely spend weed
0,ltgt ish minute 5 minute ago wtf
0,thank callingforgot happy onam sirjii fine remember meet insurance personmeet qatar insha allahrakhesh ex tata aig join tisscotayseer
1,congratulation ur award 500 cd voucher 125gift guarantee   free entry 2 100 wkly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16
1,ur cashbalance currently 500 pound   maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422land roww1j6hl
0,m actor work work evening sleep late m unemployed moment sleep late unemployed day saturday
0,hello st andrewsboy long way cold post
0,ha ha cool cool chikku chikkudb
0,oh ok prob
0,check audrey status right
0,busy try finish new year look forward finally meet
0,good afternoon sunshine dawn day   refresh happy alive breathe air smile   think love  
0,know z care worry
1,updatenow   xmas offer late motorola sonyericsson   nokia   free bluetooth double min   1000 txt orange mobileupd8 08000839402 call2optoutf4q
1,discount code rp176781 stop message reply stop wwwregalportfoliocouk customer service 08717205546
0,wat uniform
0,cool text ready
0,hello boytoy   geeee miss wake wish bed cuddle love
0,spoil bed
0,m bath msg   ltgt   min
0,talk people sure pay agree price pls tell want buy willing pay
1,thank ringtone order reference t91 charge gbp 4 week unsubscribe anytime customer service 09057039994
0,happen
0,mei didt recognise face
0,s lot thing happen lindsay new year sigh bar ptbo blue heron
0,payasam rinu bring
0,teach ranjith sir sm like becaus s verify project prabu tell today pa mistake
0,guess s worried know s way body repair m sure worry slow test guide ovulation relax ve reason worry ill followin
0,yeah sure couple minute track wallet
0,hey leave big deal care
0,hey late ah meet 945
1,double min txt 4 6months free bluetooth orange available sony nokia motorola phone mobileupd8 08000839402 call2optoutn9dx
0,mr owl 3 lick
0,customer place
0,mm time like fun
1,4mth half price orange line rental   late camera phone 4 free phone 11mth   mobilesdirect free 08000938767 update or2stoptxt
0,yup lunch buffet u eat
0,huh late fr dinner
0,hey sit intro pilate kickboxing
0,morning ok
0,yes think office lap room think s day shut
0,pick bout 730ish time  
0,performance award calculate monthnot current month period
0,actually sleep u text gr8 rock sis send u text wen wake
0,business picture ass facebook open people ve meet think picture room hurt feel violate
0,good evening sir al salam wahleykkumshare happy newsby grace god offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
0,hmmmkbut want change field quickly dai wanna system administrator network administrator
1,free ringtone text 87131 poly text 87131 true tone help 0845 2814032 16 1st free tone 3xå150pw eånd txt stop
0,dear chechi talk
0,hair cream ship
0,s happen til
0,yep great loxahatchee xmas tree burn   ltgt   start hour
0,haha drive usf man know lot stoner
0,slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time   place
0,hello good week fancy drink later
0,headin busetop
0,messagesome text miss sendername miss number miss sentdate miss miss u lot s y missing send fullonsmscom
0,come room point iron plan weekend
0,cos want thing
0,okie ill yan jiu skip ard oso cine den mrt blah blah blah
0,bring home wendy d
1,100 date service 09064012103 box334sk38ch
0,whatsup u want sleep
0,alright new goal
1,free entry å250 weekly competition text word win 80086 18 tc wwwtxttowincouk
0,alright ill head minute text meet
1,send logo 2 ur lover   2 join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p
0,yesfrom week m live
1,contact date service enter phone fancy find landline 09111032124   pobox12n146tf150p
0,siva hostel aha
1,urgent mobile number award å2000 prize guarantee 09058094455 land line claim 3030 valid 12hrs
0,send ur friend receive ur voice speak expression 1childish 2naughty 3sentiment 4rowdy 5ful attitude 6romantic 7shy 8attractive 9funny   ltgt irritate   ltgt lovable reply
0,ok shell ok guess
0,aathiwhere dear
0,pain urination thing
0,7 esplanade ì mind lift cos car today
0,wnt buy bmw car urgentlyit vry urgentbut hv shortage   ltgt lacsthere source arng dis amt ltgt lacsthat prob
0,home watch tv lor
0,usually fucking minute respond yes question
1,congrats nokia 3650 video camera phone 09066382422 cost 150ppm ave 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx
0,book ticket pongal
0,available m like right hillsborough amp   ltgt th
0,message send askin   ltgt dollar shoul pay   ltgt     ltgt
0,ask g iouri ve tell story like time
0,long applebee fucking
0,hi hope u txtjourney gdnow 50 min late think
0,like love arrange
0,yeshe greatbhaji tell kallis good cricketer sachin worldvery tough
0,suppose wake gt
0,oic tot din c find group liao
0,sorry ill later
0,hey hey werethe monkeespeople monkeyaround howdy gorgeous   howu doin foundurself jobyet sausagelove jen xxx
0,sorry battery die come m gram s place
0,blimey exercise yeah kinda remember wot hmm
0,concentration dear know mind
0,lol   plan new year
0,10 min later k
0,hank lotsly
0,thank hope good day today
0,kkwhat detail want transferacc
0,ok tell stay yeah tough optimistic thing improve month
1,loan purpose å500   å75000 homeowner   tenant welcome previously refuse help free 0800 1956669 text help
0,si si think ill oreo truffle
0,look amy ure beautiful intelligent woman like u lot know u donåõt like like donåõt worry
0,hope s result consistently intelligent kind start ask practicum link ear open good ttyl
0,120 cost guess bad miss ya need ya want ya love ya
0,different feelingwavering decision cope individualtime heal believe
0,u phone die stay
0,great day reason thank god
1,upgrdcentre orange customer claim free camera phone upgrade loyalty 0207 153 9153 offer end 26th july tcs apply optout available
0,sorry ill later ok bye
0,ok way railway
0,great princess love receive oral doggy style fave position enjoy love   ltgt   time night
0,stuff road slippery
0,ride bike
0,yup need ill jus wait 4 e rain 2 stop
0,company tell language
1,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award 09061743806 landline tcs sae box326 cw25wx 150ppm
0,long scream princess
0,mean money enter account bank remove flat rate transfer   ltgt   account   ltgt dollar remove bank differ charge differbe sure trust 9ja person send account detail cos
1,want 2 lay tonight want real dog location send direct 2 ur mob join uks large dogging network txte moan 69888nyt ec2a 31pmsg150p
0,nice line broken heart plz cum 1 time infront wise ll trust u good 9 t
0,ok m head usf like minute
0,love aathilove u lot
0,tension ahwhat machiany problem
0,k pick 8th
0,guy g think stay mcr
0,u sec
0,yo carlos friend ask work weekend
0,watch tv lor
0,thank baby wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win 1 long time
1,free message activate 500 free text message reply message word free term   condition visit www07781482378com
0,dear reach railway happen
0,depend quality want type send boye fade glory 6 want ralph maybe 2
0,think ve fix send test message
0,sorry man account dry want trade half buy shit credit card
1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss
0,sorryin meeting ill later
0,class   ltgt   reunion
0,free nowcan
0,meh
0,nope think monday sorry reply late
0,tell accenture confirm true
0,kate jackson rec center 7ish right
0,dear reache room
0,fight world easy u win lose bt fightng some1 close u dificult u lose   u lose u win   u lose
0,ì come
0,check nuerologist
0,lolnice fish water
1,123 congratulation   week competition draw u win å1450 prize claim 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm
0,wait e car dat bore wat cos wait outside 2 home stuff watch tv wat
0,maybe westshore hyde park village place near house
0,know s anthony bring money ve school fee pay rent stuff like s need help friend need
0,s significance
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 mature 8 stylish 9 simple pls reply
0,8 late gs scrounge ammo want new ak try
0,prabhaim sorydarealyfrm heart m sory
0,lol ok forgive
0,nojst change tat
1,guarantee late nokia phone 40 gb ipod mp3 player å500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
0,sno competition
1,boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt
1,credit httpwwwbubbletextcom renewal pin tgxxrz
0,way transport problematic sat night way u want ask   n   join bday feel free need know definite nos book fri
0,usually person unconscious s child adult behave abnormally ill
0,s ebay
0,shall come pickle
0,taco
0,s rude campus
1,urgent mobile award å2000 bonus caller prize 020903 2nd attempt contact 08718729755 box95qu
0,hi b ard 4 christmas enjoy n merry xmas
1,today offer claim ur å150 worth discount voucher text yes 85023 savamob member offer mobile t cs 08717898035 å300 sub 16   unsub reply x
0,yes pretty lady like single
1,recieve tone 24hrs term condition channel u teletext pg 750
0,jay doublefaggot
1,private 2003 account statement 07815296484 800 unredeemed sim point 08718738001 identifier code 41782 expire 181104
0,todaysundaysunday holidayso work
0,gudnitetcpractice
0,ill late
0,ve hope l8r malaria know miss guy miss bani big pls love especially great day
0,good afternoon love day   hope maybe lead job think boytoy send passionate kiss sea
0,probably later tonight lt
0,maybe fat finger press button know
0,ummmmmaah happy return d day dear sweet heart happy birthday dear
0,tirupur da start office
1,wwwapplausestorecom monthlysubscription50pmsg max6month tcsc web age16 2stop txt stop
0,famous quote   develop ability listen unconditionally lose temper self confidence mean   marry
0,college pa ill come self pa
0,4 oclock bash flat plan
0,girl stay bed girl need recovery time d pass fun coope bed
0,special
0,know need hotel invitation apologise cali sweet come english bloke weddin
0,sorry long omw
0,wait   ltgt   min
0,ok 5 minute think btw alibi cut hair time
0,imagine finally sink bath pace maybe eat leave   imagine feel cage cock surround bath water remind   enjoy cuck
0,hurry ve weeddeficient like day
0,sure acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,ok night warm bath drink cup milk ll work magic need loose weight know
0,iûll look fry pan case itûs cheap book thatûs silly fry pan isnût likely book
0,o uv cause mutation sunscreen like essential theseday
0,lunchyou onlinewhy
0,know friend tell
0,hi princess thank pic pretty
0,aiyo u c ex dunno abt mei haven reply time u reply fast y lucky workin huh bao ur sugardad ahgee
0,hi msg meim office
0,thanx 4 e brownie v nice
0,geeeee   love barely stand
1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm
0,fuck babe   miss know   let send money net   need   want   crave
0,ill u 2mrw ninish address icky american freek stop callin 2 bad jen k eh
0,oooh bed ride ey think
0,anyways gym love smile hope ok good day babe   miss
0,love daddy scream pleasure slap ass dick
0,wot u wanna missy
0,yar lor wait 4 mum 2 finish sch lunch lor morning stay home clean room room clean hee
0,know lab goggle
0,open door
0,wait
0,nope wait sch 4 daddy
1,win 1000 cash 2000 prize claim call09050000327
0,m tired argue week week want ill
0,ìï wait 4 sch finish ard 5
1,mobile number win å5000 claim ring claim hot line 09050005321
0,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dance frnt d snake amp sayin bite bite
0,huh early ì dinner outside izzit
0,ok need change
1,try contact reply offer 750 min 150 textand new video phone 08002988890 reply free delivery tomorrow
0,exwife able kid want kid day
0,s scotland hope jjc tendency care live dream
0,tell u headache want use 1 hour sick time
0,dun thk ill quit hmmm jazz   yogasana oso meet em lesson den
0,pete ring meive hardly gotany credit
0,ya srsly yi tho
0,m meeting later
1,ur chance win å250 wkly shopping spree txt shop 80878 tsc wwwtxt2shopcom custcare 08715705022 1x150pwk
1,specially select receive 2000 pound award 08712402050 line close cost 10ppm 16 tcs apply ag promo
1,private 2003 account statement 07753741225 800 unredeemed s m point 08715203677 identifier code 42478 expire 241004
0,grand prix
0,meet stranger choose friend long world stand friendship end let friend forever gud nitz
0,great
0,gud mrng dear nice day
1,important customer service announcement freephone 0800 542 0825
0,exhaust train morning wine pie sleep
0,m buy mum present ar
0,mind blastin tsunamis occur rajnikant stop swim indian oceand
0,u send home ok lor m ready
0,speak cash
0,happy come noon
0,meet lunch la
0,care n soon
1,xclusiveclubsaisai 2morow 285 soiree speciale zouk nichols parisfree rose 2 lady   info 0794674629107880867867
0,mean wait u bore bridgwater banter
0,neva mind ok
0,fine imma drink somethin want come find
1,22 day kick euro2004 u date late news result daily remove send txt stop 83222
0,valentine game    send dis msg ur friend   5 answer r d love u que colour suit bestrply
0,dependent
0,thanx4 today cer nice 2 catch ave 2 find time oh care c u soonc
0,himthen choose future
0,happy valentine day know early handsome beauty wish think finish auntie uncle 1st
0,like v shock leh cos tell shuhui like tell leona like dat know liao ask abt ur reaction lor
0,family happiness
0,come n pick ì come immediately aft ur lesson
0,let snow let snow kind weather bring ppl friendship grow
0,dear   ltgt   dollar hi hi
0,good word word leave u dismay time
0,sure alex know birthday minute far concern
0,sorry thing pub later
0,nah straight bring bud drink s actually little useful straight cash
0,haha good hear m officially pay market 8th
0,lick center tootsie pop
0,yup thk r e teacher face look long darren ask 2 cut short
1,new textbuddy chat 2 horny guy ur area 4 25p free 2 receive search postcode gaytextbuddycom txt 89693
1,today vodafone number end 4882 select receive å350 award number match 09064019014 receive å350 award
0,like hi hi hi
0,thank u
0,oh forwarded message think send
0,seventeen pound seven ml ûò hope ok
1,dear voucher holder 2 claim week offer pc httpwwwetlpcoukexpressoffer tscs apply2 stop text txt stop 80062
0,n funny
0,sweetheart hope kind day load reason smile biola
0,ì login dat time dad fetch ì home
0,shower baby
0,askd u question hour answer
0,imma definitely need restock thanksgive ill let know m
0,kiss kiss sound effect gorgeous man kind person need smile brighten day
0,probably swing wee bit
0,ya nice   ready thursday
0,allo brave bus train triumph mean weûre bûham jolly good rest week
0,watch cartoon listen music amp eve temple amp church u
0,mind ask happen uncomfortable
1,private 2003 account statement 800 unredeemed s m point 08715203694 identifier code 40533 expire 311004
0,prob send email
1,win 1000 cash 2000 prize claim call09050000327 tc rstm sw7 3ss 150ppm
